Geo Point;Geo Shape;gml_id;id_rva_fcd_avt_20230328;denomination;sens_circul;freeflowtime;type;id_troncon;length;thresholds
48.0932176445634, -1.70186696795928;"{""coordinates"": [[[-1.702640000002568, 48.092829999998976], [-1.702050000006329, 48.09316999999864], [-1.701819999993842, 48.093270000000665], [-1.701419999996987, 48.093409999997085], [-1.701059999997083, 48.093530000004165]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.40;40;Boulevard Jean Mermoz;;17;;492445_D;141.967776766486;20_40
48.13956965755772, -1.6272539078110018;"{""coordinates"": [[[-1.627610000002223, 48.140079999997894], [-1.627409999994975, 48.13991000000412], [-1.627299999996733, 48.13977000000347], [-1.627189999997445, 48.13948999999596], [-1.627080000002719, 48.13917000000249], [-1.62699972894072, 48.13898939012414]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.59;59;Route départementale 386;;10;;37668;131.304238599106;30_50
48.09269542497953, -1.7028452805886967;"{""coordinates"": [[[-1.703050000000994, 48.09256000000259], [-1.702899999997688, 48.09266000000264], [-1.702640000002568, 48.092829999998976]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.90;90;Boulevard Jean Mermoz;;3;;492433;42.8268495686005;20_40
48.09269542497953, -1.7028452805886967;"{""coordinates"": [[[-1.702640000002568, 48.092829999998976], [-1.702899999997688, 48.09266000000264], [-1.703050000000994, 48.09256000000259]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.94;94;Boulevard Jean Mermoz;;3;;492447;42.8268495686005;20_40
48.08925245470694, -1.7061472251964847;"{""coordinates"": [[[-1.706184900620971, 48.08950221842916], [-1.706170000005337, 48.08945999999908], [-1.706140000006084, 48.08933000000224], [-1.70613000000524, 48.08921000000069], [-1.706140000004556, 48.08911000000236], [-1.706160000005153, 48.088999999996375]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.106;106;Porte de Saint-Nazaire;;9;;492490;56.2800282935152;20_40
48.09009456759573, -1.706286720655881;"{""coordinates"": [[[-1.706650000005763, 48.090440000003014], [-1.706520000000759, 48.09032000000087], [-1.706370000006449, 48.090149999997834], [-1.706279999995653, 48.090039999996485], [-1.706170000000533, 48.08995999999937], [-1.706050000005651, 48.08989000000279], [-1.705877091334132, 48.08981315169946]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.107;107;Porte de Saint-Nazaire;;13;;492492;91.7988586018348;20_40
48.044847503370974, -1.6501851708857436;"{""coordinates"": [[[-1.651549999996104, 48.04495000000085], [-1.650100000003073, 48.04483999999771], [-1.649000000006659, 48.04475999999975], [-1.648819999996672, 48.04474999999959]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.131;131;Route départementale 34;Dans les 2 sens;9;Route départemental;10273_D;204.767192889677;30_50
48.044847503370974, -1.6501851708857438;"{""coordinates"": [[[-1.648819999996672, 48.04474999999959], [-1.649000000006659, 48.04475999999975], [-1.650100000003073, 48.04483999999771], [-1.651549999996104, 48.04495000000085]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.132;132;Route départementale 34;Dans les 2 sens;9;Route départemental;10273_G;204.767192889677;30_50
48.04622792950704, -1.6352299083906126;"{""coordinates"": [[[-1.632380000001196, 48.04615999999651], [-1.632659999997196, 48.04619000000252], [-1.633200000003725, 48.04624999999766], [-1.633280000001143, 48.04626000000311], [-1.633649999996473, 48.046299999997615], [-1.634070000001606, 48.04632000000301], [-1.634529999994059, 48.04632999999857], [-1.634819999995172, 48.04633999999925], [-1.635120000005562, 48.04632999999777], [-1.635799999999099, 48.04628999999792], [-1.636379999996039, 48.04622000000289], [-1.636990000005505, 48.04614000000021], [-1.637379999995392, 48.04607999999883], [-1.638071922411228, 48.04597458994094]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.138;138;le Champ Long;Dans les 2 sens;32;Lieu-dit;10277_G;429.629490882145;30_50
48.08101983766178, -1.794085551215372;"{""coordinates"": [[[-1.793990000001475, 48.080689999999436], [-1.794039999997301, 48.08076999999589], [-1.794070000002575, 48.0808299999996], [-1.794090000005367, 48.080879999997315], [-1.794100000002487, 48.080939999998535], [-1.794109999996045, 48.08099999999928], [-1.794109999998957, 48.08108000000238], [-1.7941000000014, 48.08120000000088], [-1.794089999999045, 48.08128000000404], [-1.794129999993734, 48.08136000000247]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.160;160;Route départementale 288;Dans les 2 sens;3;Route départemental;13557_D;76.4288216249298;20_40
48.06090320518546, -1.7709164618420856;"{""coordinates"": [[[-1.77544999999975, 48.06055000000284], [-1.775270000000283, 48.060600000001436], [-1.775140000005579, 48.0606299999975], [-1.774980000002229, 48.06064999999978], [-1.774810000002633, 48.060659999998364], [-1.774580000005437, 48.06069999999957], [-1.773969999997286, 48.06073], [-1.772800000002291, 48.06079999999909], [-1.772090000001081, 48.06084000000412], [-1.770469999995153, 48.060920000004344], [-1.769210000002223, 48.06098999999567], [-1.768560000006921, 48.061030000003335], [-1.768240000004287, 48.06104999999705], [-1.767000000003871, 48.061159999996626], [-1.766680000002222, 48.061190000002846], [-1.76637424895079, 48.06122147437699]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.162;162;Route départementale 34;Dans les 2 sens;36;Route départemental;15029_D;681.8865457971;30_50
48.06077430887732, -1.7755351870922669;"{""coordinates"": [[[-1.77544999999975, 48.06055000000284], [-1.775439999993821, 48.06066000000259], [-1.77546999999379, 48.060750000000624], [-1.775519999998498, 48.06082000000305], [-1.775599999997894, 48.060870000002225], [-1.775690000003154, 48.06090999999909], [-1.775733268498761, 48.060920817123204]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.164;164;Rond-point des Villeneuves;Dans le sens de numérisation;3;Rond-point;15062;50.781084450062;20_40
48.080577376374144, -1.7938157691878076;"{""coordinates"": [[[-1.793699999998214, 48.080410000001336], [-1.793709999995057, 48.080459999996286], [-1.793729999998524, 48.08051000000366], [-1.793759999995563, 48.080549999996684], [-1.793810000000877, 48.08060000000358], [-1.79387000000288, 48.080639999997665], [-1.793930000001853, 48.080670000002755], [-1.793990000001475, 48.080689999999436]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.176;176;Rond-point;Dans le sens de numérisation;3;Rond-point;15114;39.9124752743044;20_40
48.08044824472986, -1.7929462000762915;"{""coordinates"": [[[-1.792187938108543, 48.08072536083742], [-1.792289999996577, 48.08067999999831], [-1.792559999997178, 48.080569999997664], [-1.792850000003725, 48.080449999998855], [-1.793099999994488, 48.08034999999922], [-1.79317000000302, 48.08031999999717], [-1.793229999999553, 48.08029999999606], [-1.793280000002916, 48.080290000003764], [-1.793360000004426, 48.08027999999615], [-1.793400000001528, 48.080279999999654], [-1.793450000005856, 48.08027999999764], [-1.793500000001937, 48.08028999999604], [-1.793550000005409, 48.08030999999529], [-1.793590000005568, 48.08032999999644], [-1.793649999997588, 48.08036999999751], [-1.793699999998214, 48.080410000001336]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.177;177;Route nationale 24;Dans le sens de numérisation;8;Route nationale;15115;131.652792913014;20_40
48.07958726753238, -1.7923665614829625;"{""coordinates"": [[[-1.79302000000354, 48.078020000000635], [-1.793050000006372, 48.078090000002376], [-1.79307, 48.078140000002385], [-1.793080000003584, 48.078190000003524], [-1.793080000000499, 48.078239999998885], [-1.793079999998251, 48.07829000000272], [-1.793070000004889, 48.07835000000262], [-1.793060000001691, 48.07841000000038], [-1.79303000000049, 48.078519999999436], [-1.792989999998851, 48.078639999996405], [-1.792940000003824, 48.078789999998406], [-1.792880000000858, 48.07892999999556], [-1.792819999999219, 48.079069999998], [-1.792749999995129, 48.07921999999969], [-1.792690000001224, 48.07932999999915], [-1.792620000005702, 48.07944999999657], [-1.792549999998054, 48.07955000000355], [-1.792489999997953, 48.07963000000262], [-1.792420000003406, 48.07971999999972], [-1.792349999993764, 48.07982000000152], [-1.792269999997575, 48.07990999999807], [-1.792179999994765, 48.08002000000456], [-1.792090000005379, 48.08012000000114], [-1.792009999999467, 48.08019999999807], [-1.791920000006316, 48.0802900000027], [-1.791830000001814, 48.08038000000381], [-1.791750000000583, 48.08045], [-1.791629999997506, 48.080550000003484], [-1.791530000005441, 48.080630000000404], [-1.791470000005716, 48.08068999999897], [-1.791409999995506, 48.08077000000408], [-1.79120919184073, 48.08090805561023]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.185;185;Route nationale 24;Dans le sens de numérisation;14;Route nationale;15123;358.703927550532;20_40
48.078361991904515, -1.6322830902299432;"{""coordinates"": [[[-1.632090000138211, 48.07832000004514], [-1.632179999995589, 48.07834999999577], [-1.632270000003362, 48.07837000000201], [-1.632389999997811, 48.07838000000343], [-1.632479999999889, 48.078369999995864]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.193;193;Rond-point;Dans le sens de numérisation;2;Rond-point;1630;30.3631433359689;20_40
48.08198316422671, -1.6401053302903141;"{""coordinates"": [[[-1.640440000003682, 48.08206000000089], [-1.640329999999104, 48.08199999999935], [-1.640199999993747, 48.08196999999914], [-1.640059999997689, 48.08195999999881], [-1.639929999998123, 48.08196000000014], [-1.639759999994475, 48.08200000000382]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.202;202;Rond-point;Dans le sens de numérisation;3;Rond-point;1641;54.4124932965469;20_40
48.100905817906565, -1.7843609138930812;"{""coordinates"": [[[-1.783619999995076, 48.10171999999741], [-1.783979999998035, 48.1013200000027], [-1.784310000006133, 48.10097000000135], [-1.7845800000017, 48.10065999999882], [-1.784739999994256, 48.10049000000211], [-1.784949999994874, 48.10026], [-1.785100000005856, 48.10009000000171]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.206;206;Route départementale 288;Dans les 2 sens;8;Route départemental;16648_G;212.149982600957;30_50
48.08567925956134, -1.793051201962168;"{""coordinates"": [[[-1.794006110004794, 48.081879115999115], [-1.793939999998658, 48.08216999999699], [-1.793719999997998, 48.08298000000366], [-1.793339999997793, 48.08439000000117], [-1.79299000000347, 48.08566000000215], [-1.792820000004272, 48.086309999996395], [-1.792740000005354, 48.086599999999656], [-1.792689999999858, 48.086850000001604], [-1.792650000001084, 48.08711000000232], [-1.792610000005581, 48.087389999995445], [-1.792559999993617, 48.08776999999704], [-1.792510000000635, 48.08822999999923], [-1.792469999998524, 48.088559999996086], [-1.792440000005168, 48.08873999999717], [-1.792430000003728, 48.08884000000079], [-1.792419999995443, 48.08891999999969], [-1.792360000001906, 48.08898000000415], [-1.792340000004214, 48.089060000002654], [-1.792319999993684, 48.08912999999981], [-1.792299999996774, 48.08919999999872], [-1.792270000006551, 48.08927999999972], [-1.792229999997581, 48.08934999999721], [-1.79218999999634, 48.08941], [-1.792149999998429, 48.08946000000086]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.208;208;Route départementale 288;Dans les 2 sens;35;Route départemental;16695_G;856.477410674509;30_50
48.08876727100449, -1.6248502073773778;"{""coordinates"": [[[-1.624770000003564, 48.0892700000006], [-1.62483, 48.08898000000418], [-1.62485999999585, 48.08877999999704], [-1.624879999999297, 48.088590000001645], [-1.624890000000267, 48.088389999999315], [-1.62488999999724, 48.08826000000304]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.232;232;Route départementale 463;Dans les 2 sens;8;Route départemental;1765_D;112.789259663362;20_40
48.097701506109146, -1.6166510154945766;"{""coordinates"": [[[-1.61788177443636, 48.09701249074562], [-1.616880000006344, 48.097569999997674], [-1.615422640548176, 48.09839476936469]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.239;239;Rocade Sud;Dans le sens de numérisation;12;Rocade;1856;239.11158440343;30_50
48.0916333865732, -1.6265279066214804;"{""coordinates"": [[[-1.626390000006631, 48.091420000003566], [-1.626480000003883, 48.09149999999955], [-1.626549999995846, 48.09157000000027], [-1.626579999993182, 48.09162999999782], [-1.626589999998071, 48.091700000003904], [-1.626579999998472, 48.091749999996686], [-1.626550000001855, 48.09181000000159], [-1.626520000001036, 48.09188000000264]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.244;244;Route nationale 136;Dans le sens de numérisation;2;Route nationale;1861;56.1056861068969;20_40
48.07712029284076, -1.694490642270809;"{""coordinates"": [[[-1.694370000003482, 48.07704999999665], [-1.69442999999791, 48.07709000000381], [-1.694530000001315, 48.07714999999643], [-1.694620000000252, 48.0771700000008]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.250;250;Rond-point;Dans le sens de numérisation;2;Rond-point;19632;23.3733575472275;20_40
48.04968075185203, -1.6090007669464712;"{""coordinates"": [[[-1.608850000005576, 48.04979999999572], [-1.608930000004719, 48.04976000000211], [-1.609000000004623, 48.049709999996836], [-1.609039999999415, 48.049670000001626], [-1.609070000003168, 48.049619999999656], [-1.609089999995678, 48.04955], [-1.609086251211396, 48.049516260878256]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.253;253;Rond-point de la Croix Rouge;Dans le sens de numérisation;4;Rond-point;19635;38.0995749832539;20_40
48.04494604933004, -1.6075828742684308;"{""coordinates"": [[[-1.607420000001514, 48.04486000000288], [-1.60749000000178, 48.044910000002645], [-1.607560000003113, 48.04495000000427], [-1.607679999999529, 48.04498999999593], [-1.607759999997756, 48.04498999999625]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.258;258;Rond-point du Pâtis Fraux;Dans le sens de numérisation;2;Rond-point;19640;30.4394027450668;20_40
48.13126678958989, -1.7566189531056373;"{""coordinates"": [[[-1.753525174425589, 48.12989595180873], [-1.75358999999552, 48.1299199999962], [-1.754040000003312, 48.13010000000352], [-1.755049999994702, 48.13051999999911], [-1.755849999996635, 48.13087999999786], [-1.756529999995649, 48.131200000001165], [-1.75718000000682, 48.13151000000353], [-1.757820000000184, 48.13182999999612], [-1.758550000001917, 48.13216999999646], [-1.759270000002675, 48.132520000004035], [-1.759620000000435, 48.13269000000378], [-1.759677240094218, 48.13271704751982]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.263;263;Route nationale 12;Dans le sens de numérisation;37;Route nationale;19684;555.36439366415;30_60
48.05525060100398, -1.6115570511316386;"{""coordinates"": [[[-1.615213285803704, 48.06023660944083], [-1.615050000002757, 48.06004], [-1.614900000004017, 48.05985999999794], [-1.614110000003671, 48.05891999999536], [-1.613289999998214, 48.057920000004145], [-1.612859999995891, 48.057389999999764], [-1.612400000006149, 48.05675999999742], [-1.6117100000064, 48.055759999998976], [-1.611480000003781, 48.055429999998466], [-1.61119000000527, 48.05501999999974], [-1.610700000004825, 48.05429999999727], [-1.610569999996437, 48.054110000002005], [-1.610340000005328, 48.053760000003194], [-1.610019999996519, 48.05325999999659], [-1.60990999999568, 48.053080000001614], [-1.609670000004424, 48.052650000002345], [-1.609500000002392, 48.05228999999691], [-1.609430000002667, 48.05214000000025], [-1.609329999999422, 48.05193999999681], [-1.60917999999473, 48.05153000000069], [-1.609040000003271, 48.05113999999604], [-1.608920000004067, 48.050669999997396], [-1.608859999999068, 48.0504099999958], [-1.608840000005267, 48.05021999999773], [-1.608839999995856, 48.050020000001375], [-1.608850000005576, 48.04979999999572]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.267;267;Route départementale 173;Dans le sens de numérisation;58;Route départemental;198;1264.912113366;30_60
48.136150696028125, -1.7716098981601383;"{""coordinates"": [[[-1.771889999993701, 48.13685000000034], [-1.771810000000831, 48.13673000000023], [-1.771770000004756, 48.136670000001956], [-1.77171999999724, 48.13659999999613], [-1.771669999996095, 48.1365200000003], [-1.771559999996194, 48.13630999999848], [-1.771530000000957, 48.13611000000044], [-1.771519999998237, 48.13593999999784], [-1.77152, 48.13578999999959], [-1.771539999997794, 48.135579999997056], [-1.771560000004174, 48.13544000000076], [-1.771568996053805, 48.13539501973073]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.271;271;Route départementale 288;Dans les 2 sens;9;Route départemental;19829_D;166.960046202346;20_40
48.124692599433665, -1.7730479697489283;"{""coordinates"": [[[-1.773180000000413, 48.12422999999739], [-1.773020000005372, 48.124780000002666], [-1.772939999994434, 48.125090000001755], [-1.772923684361876, 48.12515730200479]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.279;279;Route départementale 288;Dans les 2 sens;32;Route départemental;19842_D;104.867079314387;30_50
48.124692599691656, -1.7730479696798853;"{""coordinates"": [[[-1.772923684234944, 48.12515730252372], [-1.772939999994434, 48.125090000001755], [-1.773020000005372, 48.124780000002666], [-1.773180000000413, 48.12422999999739]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.280;280;Route départementale 288;Dans les 2 sens;32;Route départemental;19842_G;104.867137679274;30_50
48.13862529214809, -1.770786898887007;"{""coordinates"": [[[-1.770129999997793, 48.13991000000266], [-1.770189999998686, 48.1397900000045], [-1.770510000001172, 48.13918999999705], [-1.770689999993982, 48.13883999999718], [-1.770820000006112, 48.138580000003884], [-1.770869999997424, 48.13849000000234], [-1.770939999996488, 48.13835000000205], [-1.770979999997861, 48.13826000000399], [-1.771150000001198, 48.137899999999696], [-1.77123999999783, 48.1377199999977], [-1.77139999999354, 48.137319999999626]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.282;282;Route départementale 29;Dans les 2 sens;20;Route départemental;19864_G;303.219066762428;30_50
48.138072867442986, -1.7713589758989428;"{""coordinates"": [[[-1.771810000003087, 48.13732000000076], [-1.772020000002381, 48.13736000000012], [-1.772119999996442, 48.13739], [-1.772200000001796, 48.13742000000272], [-1.772279999993156, 48.13750999999618], [-1.772350000000789, 48.13763000000099], [-1.772389999995537, 48.13774000000285], [-1.772440000005667, 48.1378700000003], [-1.772499999994564, 48.138110000003685], [-1.772510000004796, 48.13819999999797], [-1.772499999999289, 48.138289999998236], [-1.77248000000377, 48.13837000000125], [-1.77241000000244, 48.13845000000142], [-1.772319999993709, 48.1385200000009], [-1.772230000005344, 48.138569999999696], [-1.772129999998366, 48.138609999998515], [-1.772019999996743, 48.138639999999064], [-1.771899999995827, 48.13866000000204], [-1.771810000000802, 48.138659999997245], [-1.771710000002536, 48.13865999999773], [-1.771599999993434, 48.13863999999774], [-1.771460000001614, 48.13860000000124], [-1.771080000003852, 48.13844000000076], [-1.770939999996488, 48.13835000000205], [-1.77059000000442, 48.13812999999678], [-1.770119999994932, 48.137820000003565], [-1.769610000002033, 48.13747999999543], [-1.769501714684913, 48.137411934947856]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.284;284;Route nationale 12;Dans le sens de numérisation;13;Route nationale;19882;428.143931505189;20_40
48.14111159027776, -1.7696710932043331;"{""coordinates"": [[[-1.769499999996832, 48.14154000000267], [-1.76951999999825, 48.14147000000207], [-1.769550000000984, 48.14137999999619], [-1.769590000000221, 48.14127999999935], [-1.76983000000412, 48.14076000000074], [-1.769860000000916, 48.14069000000242]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.292;292;Route départementale 29;Dans le sens de numérisation;4;Route départemental;20685;98.3025327816297;20_40
48.141707501549504, -1.7687704268250932;"{""coordinates"": [[[-1.76883392466984, 48.141581391924255], [-1.768809999997448, 48.141600000002256], [-1.768749999996242, 48.14169000000231], [-1.768749999994599, 48.14178000000198], [-1.768769999993683, 48.14184999999739]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.301;301;Rond-point du Ponant;Dans le sens de numérisation;3;Rond-point;20709;31.6200117490996;20_40
48.14262506547564, -1.7679736931789176;"{""coordinates"": [[[-1.767060000000656, 48.14313999999638], [-1.767240000004503, 48.14307000000336], [-1.76736, 48.143030000002746], [-1.76745999999473, 48.14295999999765], [-1.767599999997, 48.1428700000042], [-1.767919999998432, 48.142660000004], [-1.768429999998995, 48.14232999999637], [-1.768650000004778, 48.14219999999765], [-1.768880000000415, 48.142090000000884]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.309;309;Route départementale 29;Dans le sens de numérisation;7;Route départemental;20765;179.705742069319;20_40
48.15043590741461, -1.7218548712375268;"{""coordinates"": [[[-1.721729999997693, 48.15029], [-1.721740000000182, 48.15034000000017], [-1.721749999995921, 48.150370000003335], [-1.721780000004244, 48.150410000002644], [-1.721819999996903, 48.1504400000002], [-1.721869999998934, 48.15046999999715], [-1.721950000006194, 48.1505000000017], [-1.722040000000197, 48.150509999996906]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.320;320;Rond-point de Coupigné;Dans le sens de numérisation;3;Rond-point;24148;37.0829615753419;20_40
48.1496139358691, -1.6995221429964407;"{""coordinates"": [[[-1.700360000004641, 48.151949999999765], [-1.700140000003879, 48.15148999999684], [-1.69990999999516, 48.15095999999613], [-1.699719999997014, 48.15048999999637], [-1.699559999999623, 48.15001000000053], [-1.699440000004169, 48.14957999999891], [-1.699270000002375, 48.14898000000234], [-1.699180000004597, 48.14859], [-1.69911000000041, 48.14814000000136], [-1.69900999999719, 48.14750000000059], [-1.698961598797378, 48.147195072436716]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.330;330;Route départementale 137;Dans le sens de numérisation;23;Route départemental;24179;540.274421726662;30_60
48.15359531057014, -1.7034201818760364;"{""coordinates"": [[[-1.70348, 48.153559999996425], [-1.703429999994991, 48.15358999999939], [-1.703359999996351, 48.15363000000327]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.332;332;Route départementale 29;Dans les 2 sens;0;Route départemental;24181_D;11.8456830139232;20_40
48.154625853917416, -1.7028729064473331;"{""coordinates"": [[[-1.702249999993809, 48.15432999999954], [-1.7025400000016, 48.15423999999624], [-1.702670000005525, 48.15420000000343], [-1.70277000000387, 48.15418000000215], [-1.702909999995676, 48.15417000000278], [-1.703019999993969, 48.15418000000137], [-1.703120000000677, 48.1542000000032], [-1.703210000005373, 48.15423000000047], [-1.70327999999359, 48.15426000000282], [-1.703359999998121, 48.154310000003775], [-1.703429999994856, 48.154369999999716], [-1.70346999999774, 48.15442999999876], [-1.70349000000553, 48.154500000002095], [-1.703500000004995, 48.15459000000013], [-1.703490000005043, 48.15466999999663], [-1.703470000005374, 48.15473000000293], [-1.703440000006022, 48.154789999998066], [-1.703400000001385, 48.15485], [-1.703329999999042, 48.15492000000247], [-1.703280000004558, 48.1549599999989], [-1.703189999993883, 48.155020000003724], [-1.703069999999592, 48.15505999999805], [-1.702940000002894, 48.15507999999628], [-1.70284000000019, 48.15508000000053], [-1.70272000000386, 48.155070000000705], [-1.702609999994831, 48.155039999997754], [-1.702510000000633, 48.154989999996296], [-1.702410000002532, 48.1549200000027], [-1.702250000001133, 48.15478000000155], [-1.702020000004043, 48.15459999999604]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.335;335;Route départementale 137;Dans le sens de numérisation;21;Route départemental;24183;290.114507108615;20_40
48.15259601603266, -1.7052544775837482;"{""coordinates"": [[[-1.705489999994249, 48.15240999999723], [-1.705380000003275, 48.152499999998966], [-1.705310000001138, 48.15256000000043], [-1.705220000001519, 48.152629999999526], [-1.705010000003243, 48.1527699999998]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.345;345;Route départementale 29;Dans les 2 sens;4;Route départemental;24265_D;53.71583389531;20_40
48.12368871464038, -1.7352874179171707;"{""coordinates"": [[[-1.745903511168248, 48.127256897798524], [-1.745249999993904, 48.127020000000726], [-1.744399999999354, 48.12670999999589], [-1.744369999996976, 48.12669999999582], [-1.744049999996403, 48.12657000000391], [-1.7438900000057, 48.12649999999668], [-1.743450000002873, 48.126299999995716], [-1.743000000000122, 48.12606999999622], [-1.74244999999847, 48.12576999999667], [-1.742019999994763, 48.1255199999968], [-1.741469999993545, 48.12517000000226], [-1.741129999994501, 48.12496000000334], [-1.740779999999721, 48.12475999999719], [-1.74044, 48.124600000000605], [-1.740090000004354, 48.12445000000136], [-1.739639999997065, 48.12427999999816], [-1.739250000006914, 48.12416000000294], [-1.738910000001082, 48.12405999999782], [-1.738520000003543, 48.12395999999688], [-1.738100000000189, 48.12387000000092], [-1.737649999999849, 48.1238000000004], [-1.737249999996469, 48.12374999999629], [-1.736729999997557, 48.123700000000795], [-1.736130000005565, 48.1236700000005], [-1.735700000005939, 48.123659999996384], [-1.735350000001867, 48.12366000000084], [-1.734989999995714, 48.12363999999611], [-1.73461999999674, 48.1235999999956], [-1.734279999994391, 48.123550000004556], [-1.733930000002612, 48.12347999999774], [-1.733589999996654, 48.12340000000422], [-1.733119999997472, 48.123279999995965], [-1.731969999998924, 48.12292999999964], [-1.731339999995163, 48.12273999999724], [-1.730200000005906, 48.122399999996496], [-1.72802000000428, 48.12178999999618], [-1.726880000002253, 48.1214700000036], [-1.725870000004185, 48.12118999999692], [-1.725740000002196, 48.12114999999784], [-1.72451999999784, 48.12081000000445], [-1.724402882103955, 48.12077746725273]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.362;362;Echangeur du Pont Lagot;Dans le sens de numérisation;71;Echangeur;26025;1783.0003714544;30_60
48.10502266786542, -1.735575718895473;"{""coordinates"": [[[-1.736319999998595, 48.10486], [-1.7361600000051, 48.104889999997724], [-1.735999999994562, 48.10492000000023], [-1.735769999993807, 48.1049700000031], [-1.735540000006008, 48.10501999999557], [-1.735340000004504, 48.10507000000094], [-1.735170000006335, 48.10511999999821], [-1.73499999999855, 48.10517000000109], [-1.734840000000553, 48.10522000000283]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.364;364;Route de Lorient;Dans le sens inverse de numérisation;8;Route;26043;117.46751994751;20_40
48.12848854167647, -1.749800379725642;"{""coordinates"": [[[-1.75366000000624, 48.1297899999983], [-1.752609999996163, 48.1293900000013], [-1.75160999999494, 48.12904000000224], [-1.750459999998909, 48.128659999997474], [-1.748919999996225, 48.12821000000427], [-1.747730000004308, 48.12784000000104], [-1.746049999997677, 48.12731000000087], [-1.745915431782214, 48.127261219024305]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.371;371;Route nationale 12;Dans le sens de numérisation;25;Route nationale;26501;641.788499347536;30_60
48.104885627864604, -1.7388749840954474;"{""coordinates"": [[[-1.737919999996717, 48.10486000000242], [-1.738719999996835, 48.104879999996], [-1.738950000005654, 48.10488999999841], [-1.739830000003993, 48.10491000000046]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.376;376;Route nationale 24;Dans le sens de numérisation;10;Route nationale;26654;142.360532557822;20_40
48.16287836900962, -1.667660677454531;"{""coordinates"": [[[-1.665979560313344, 48.16277371640908], [-1.6662599999972, 48.162789999999234], [-1.6669500000043, 48.162830000000326], [-1.667540000004895, 48.162869999999295], [-1.66762, 48.16288000000066], [-1.66781000000037, 48.162890000003365], [-1.66830000000149, 48.16292000000414], [-1.669341722039771, 48.16298443641047]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.389;389;Route départementale 29;Dans les 2 sens;39;Route départemental;28649_G;251.236768176058;30_50
48.14047500007005, -1.6866449999751105;"{""coordinates"": [[[-1.6866299999682, 48.14052000014598], [-1.686629999995378, 48.14052000000071], [-1.686660000001579, 48.14042999999916]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.437;437;Rue du Général de Gaulle;Dans les 2 sens;3;Rue;31361_G;10.2534251322853;20_40
